[BeGaze]
Converted from:	D:\Kirillov\Results\fatcat\P04-eye_data.idf
Date:	29.05.2019 04:55:18
Version:	BeGaze 3.0.181
Sample Rate:	250
Subject:	P04
Description:	Run4

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg. Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for User Events:
Event Type	Trial	Number	Start	Description

Saccade L	1	62	3769896967	3769948968	52001	918.73	701.86	1001.74	693.06	8.74	471.88	0.38	168.15	21554.32	-19130.00	10861.27
Saccade L	1	63	3769948968	3770100949	151981	1001.74	693.06	1216.33	510.20	36.09	792.14	0.24	237.48	26361.36	-28613.54	7815.14
Saccade L	1	64	3770116954	3770144941	27987	1211.18	507.35	1209.36	498.73	5.62	267.83	0.71	200.83	14033.08	-13898.79	11613.01
Saccade L	1	65	3770224942	3770280954	56012	1215.02	494.30	859.50	643.19	11.90	752.23	0.57	212.38	18672.52	-30428.22	10634.87
Saccade L	1	66	3770296959	3770328957	31998	856.83	638.74	1202.80	496.43	7.81	711.13	0.38	244.20	29457.84	-29254.98	17960.85
Saccade L	1	67	3770432960	3770484954	51994	1204.20	486.01	1224.07	481.62	12.31	470.52	0.69	236.78	13806.85	-15387.98	7688.88
Saccade L	1	68	3770564987	3770644988	80001	934.44	657.32	858.15	676.85	5.19	222.38	0.70	64.92	8294.78	-9463.68	3274.34
Saccade L	1	69	3770644988	3770664951	19963	858.15	676.85	916.73	654.31	0.74	77.64	0.60	37.20	1830.76	-1663.64	1132.51
Saccade L	1	70	3770704955	3770744977	40022	942.92	663.18	847.71	676.47	2.03	140.48	0.60	50.75	5187.24	-5823.12	2709.97
Fixation L	1	5	3771108965	3771852840	743875	828.33	388.34	1334	666	-1	14.79	14.79
Saccade L	1	71	3772032843	3772108869	76026	1312.36	469.86	1307.03	492.97	4.97	150.75	0.47	65.33	4224.26	-4199.79	1964.10
Saccade L	1	72	3772108869	3772128860	19991	1307.03	492.97	1297.49	453.42	1.25	124.54	0.60	62.56	3516.62	72.18	1523.17
Saccade L	1	73	3772128860	3772184879	56019	1297.49	453.42	1357.27	521.44	3.30	130.19	0.21	58.93	3261.97	-3670.15	1668.29
Saccade L	1	74	3772184879	3772260880	76001	1357.27	521.44	1292.11	489.34	3.81	119.56	0.42	50.14	3848.95	-2981.86	1735.18
Saccade L	1	75	3772296877	3772348854	51977	1250.14	472.90	1322.99	463.79	6.00	287.26	0.38	115.38	7666.24	-8335.29	4298.40
Saccade L	1	76	3772640721	3772676751	36030	474.45	605.41	473.84	584.23	0.89	50.19	0.56	24.66	1696.80	-846.54	707.01
Saccade L	1	77	3772676751	3772716723	39972	473.84	584.23	474.77	564.36	1.54	74.63	0.60	38.56	1685.87	-2251.21	1229.40
Saccade L	1	78	3772732730	3772768721	35991	480.24	518.51	2.29	0.00	23.27	1507.59	0.67	646.68	58265.04	-64273.99	43507.03
Fixation L	1	6	3772768721	3773240735	472014	0.07	0.00	2	0	-1	11.70	11.70
Saccade L	1	79	3773240735	3773272762	32027	0.00	0.00	0.00	0.00	29.90	1590.02	0.25	933.54	78403.53	-78212.87	52058.28
Saccade L	1	80	3773516741	3773632754	116013	436.58	608.03	435.66	563.68	33.29	1217.91	0.48	286.97	43775.09	-45495.63	17255.71
Saccade L	1	81	3773652737	3773680759	28022	445.43	572.70	512.82	565.32	1.43	97.23	0.57	51.11	2932.26	-2943.20	2192.82
Saccade L	1	82	3773680759	3773708742	27983	512.82	565.32	527.43	504.01	1.27	101.92	0.71	45.33	3315.81	-3423.90	1882.49
Saccade L	1	83	3773740745	3773796738	55993	525.97	552.25	529.50	584.57	2.83	135.25	0.43	50.54	4501.31	-3035.62	1776.23
Saccade L	1	84	3773796738	3773816762	20024	529.50	584.57	536.51	537.35	0.92	99.83	0.60	45.88	2793.54	-794.04	1607.58
Saccade L	1	85	3773816762	3773904763	88001	536.51	537.35	256.33	488.74	12.06	545.11	0.27	137.09	23958.12	-19499.39	7720.14
Saccade L	1	86	3773904763	3773936611	31848	256.33	488.74	289.25	443.70	1.58	111.54	0.38	49.62	2517.67	-3942.37	2084.54
Saccade L	1	87	3773936611	3773984645	48034	289.25	443.70	310.77	441.71	2.40	120.55	0.42	50.05	3881.83	-2453.32	1746.15
Saccade L	1	88	3773984645	3774024642	39997	310.77	441.71	311.94	443.61	2.45	110.49	0.40	61.22	3800.35	-3386.34	2031.17
Saccade L	1	89	3774024642	3774044647	20005	311.94	443.61	306.60	390.54	0.74	66.76	0.40	37.14	2135.68	-1162.38	859.38
Saccade L	1	90	3774044647	3774068655	24008	306.60	390.54	299.77	412.73	1.32	132.74	0.50	55.05	2135.68	-1104.24	1044.29
Saccade L	1	91	3774136620	3774164692	28072	224.46	462.56	203.53	445.70	1.48	95.55	0.57	52.62	5179.56	-2349.02	2227.46
Saccade L	1	92	3774164692	3774224610	59918	203.53	445.70	456.95	359.50	7.12	476.07	0.27	118.79	21485.02	-18714.64	7867.35
Saccade L	1	93	3774224610	3774292628	68018	456.95	359.50	376.61	416.12	2.84	87.87	0.47	41.72	2627.42	-2302.59	1129.74
Saccade L	1	94	3774312621	3774372699	60078	360.68	434.43	344.99	454.25	1.87	54.36	0.40	31.12	1784.02	-1195.27	720.28
Saccade L	1	95	3774372699	3774452680	79981	344.99	454.25	279.73	426.86	10.51	445.42	0.40	131.38	12643.07	-14153.91	5780.57
Saccade L	1	96	3774452680	3774488624	35944	279.73	426.86	281.32	441.79	2.04	139.55	0.44	56.85	2284.58	-4320.31	2374.42
Saccade L	1	97	3774512617	3774560639	48022	269.14	488.61	223.18	513.04	3.02	110.10	0.75	62.85	3169.65	-2532.49	1550.54
Saccade L	1	98	3774560639	3774588631	27992	223.18	513.04	352.37	440.34	2.15	121.46	0.43	76.96	1895.61	-6938.10	2287.84
Saccade L	1	99	3774596657	3774628638	31981	322.18	421.87	335.34	460.14	1.18	99.98	0.50	37.03	1936.69	-1378.41	1123.18
Saccade L	1	100	3774628638	3774648637	19999	335.34	460.14	284.12	461.11	0.57	54.36	0.40	28.29	98.00	-1769.45	1096.71
Saccade L	1	101	3774668617	3774696628	28011	284.87	452.35	314.69	435.75	1.31	76.39	0.29	46.65	3348.42	-2597.66	1585.58
Saccade L	1	102	3774696628	3774720622	23994	314.69	435.75	287.21	473.22	1.21	101.71	0.67	50.27	2781.24	-2062.67	1035.93
Saccade L	1	103	3774720622	3774880660	160038	287.21	473.22	519.32	686.22	15.56	437.62	0.45	97.21	14658.53	-12263.49	3884.09
Saccade L	1	104	3774936621	3774988633	52012	485.34	683.39	479.28	594.60	4.23	184.76	0.23	81.27	6412.47	-5308.96	3219.59
Saccade L	1	105	3774988633	3775012647	24014	479.28	594.60	493.18	615.71	0.67	53.21	0.33	27.93	209.17	-1433.84	561.60
Saccade L	1	106	3775012647	3775092633	79986	493.18	615.71	463.32	669.22	3.14	80.85	0.65	39.24	2266.30	-1758.65	974.63
Saccade L	1	107	3775092633	3775140627	47994	463.32	669.22	418.76	665.43	1.28	48.56	0.58	26.62	1546.38	-1592.01	908.19
Saccade L	1	108	3775140627	3775188626	47999	418.76	665.43	0.01	0.00	19.22	1374.83	0.75	400.46	55896.41	-62297.41	30221.46
Fixation L	1	7	3775188626	3775652504	463878	425.24	229.15	1624	1093	-1	12.74	12.74
Saccade L	1	109	3775652504	3775700537	48033	901.40	586.03	842.95	586.88	6.51	363.33	0.42	135.53	11356.08	-10962.97	5921.39
Saccade L	1	110	3775700537	3775832518	131981	842.95	586.88	844.48	585.83	16.75	336.50	0.21	126.89	10230.96	-10600.78	4909.64
Saccade L	1	111	3775832518	3775964518	132000	844.48	585.83	964.78	412.84	22.80	616.37	0.48	172.72	17019.38	-19740.71	6822.68
Saccade L	1	112	3775964518	3776032553	68035	964.78	412.84	950.08	367.44	6.84	193.03	0.65	100.51	5765.44	-4765.00	2845.99
Saccade L	1	113	3776032553	3776088518	55965	950.08	367.44	961.18	416.24	5.75	224.68	0.57	102.83	4075.12	-9344.76	2886.96
Saccade L	1	114	3776088518	3776144437	55919	961.18	416.24	882.79	348.73	3.68	129.64	0.43	65.85	9323.64	-3857.38	2681.43
Saccade L	1	115	3776144437	3776196526	52089	882.79	348.73	1162.30	436.53	11.94	582.95	0.31	229.14	24197.59	-14706.43	8991.73
Saccade L	1	116	3776324542	3776500515	175973	1144.99	471.65	1143.57	358.34	21.89	479.19	0.48	124.38	7289.90	-13361.35	3151.90
Fixation L	1	8	3776500515	3776640532	140017	825.28	324.30	1309	1095	-1	12.05	12.05
Saccade L	1	117	3777024403	3777060404	36001	1283.50	461.59	1365.87	459.09	1.29	73.85	0.33	35.90	4385.62	-1637.32	1623.38
Saccade L	1	118	3777060404	3777108446	48042	1365.87	459.09	1187.21	429.29	5.89	360.15	0.42	122.64	13286.05	-11890.62	7039.27
Saccade L	1	119	3777236440	3777368411	131971	1187.07	475.42	1271.13	449.88	11.78	343.66	0.64	89.26	14312.01	-10697.16	3499.08
Saccade L	1	120	3777368411	3777396442	28031	1271.13	449.88	1289.73	378.54	1.01	60.68	0.71	35.96	1495.16	-848.50	559.75
Saccade L	1	121	3777396442	3777432426	35984	1289.73	378.54	1317.51	380.96	2.31	116.39	0.56	64.25	3367.71	-3610.09	2058.54
Saccade L	1	122	3777432426	3777460407	27981	1317.51	380.96	1330.85	379.50	0.94	69.09	0.29	33.69	768.64	-1603.43	935.23
Saccade L	1	123	3777460407	3777484403	23996	1330.85	379.50	1322.62	416.31	0.69	43.78	0.50	28.65	835.20	-1003.02	701.19
Saccade L	1	124	3777500436	3777536411	35975	1360.52	358.61	1330.40	484.08	2.18	142.30	0.33	60.54	4571.44	-5841.38	3198.94
Saccade L	1	125	3777536411	3777596403	59992	1330.40	484.08	1299.96	477.52	1.92	53.91	0.47	31.93	2559.51	-1321.73	925.89
Saccade L	1	126	3777596403	3777692424	96021	1299.96	477.52	925.44	413.07	11.62	586.17	0.25	121.06	26922.12	-25406.92	8214.60
Saccade L	1	127	3777728414	3777792430	64016	939.58	411.50	893.91	445.81	1.98	59.28	0.75	30.95	1614.88	-2256.84	977.29
Fixation L	1	9	3777828374	3777956412	128038	899.37	459.28	40	29	-1	11.66	11.66
Saccade L	1	128	3777956412	3778000421	44009	914.04	442.83	896.82	468.79	1.34	62.92	0.73	30.52	1971.83	-2310.20	1128.57
Saccade L	1	129	3778036414	3778104419	68005	884.77	457.56	974.68	466.48	6.97	253.42	0.35	102.47	10084.98	-5893.18	4191.06
Saccade L	1	130	3778104419	3778176300	71881	974.68	466.48	953.52	433.59	3.98	191.00	0.67	55.41	6618.26	-5255.35	2426.24
Saccade L	1	131	3778176300	3778296304	120004	953.52	433.59	1332.66	425.86	18.82	539.43	0.53	156.79	17420.23	-14882.34	6415.30
Saccade L	1	132	3778356328	3778380312	23984	1350.48	428.61	1334.02	393.34	0.65	54.45	0.50	26.98	1930.74	-1806.75	1007.66
Saccade L	1	133	3778792305	3778820316	28011	839.87	322.90	893.28	342.47	0.88	59.85	0.57	31.50	2141.91	-2671.40	1111.64
Saccade L	1	134	3778904302	3778964338	60036	756.74	357.55	813.72	417.65	4.55	181.93	0.53	75.84	4396.75	-2771.57	1520.34
Saccade L	1	135	3778964338	3779168317	203979	813.72	417.65	47.79	879.60	28.77	828.21	0.45	141.06	36805.71	-20569.70	5826.95
Saccade L	1	136	3779168317	3779196225	27908	47.79	879.60	140.39	811.82	1.25	65.97	0.72	44.69	6415.33	-1924.32	1730.08
Saccade L	1	137	3779340298	3779424312	84014	212.57	957.62	501.93	880.36	17.44	768.86	0.38	207.53	32819.48	-21669.11	10814.68
Saccade L	1	138	3779464217	3779508328	44111	542.90	850.36	496.93	872.32	0.97	42.13	0.27	21.89	917.90	-927.07	674.93
Fixation L	1	10	3779508328	3779620177	111849	496.93	850.63	32	68	-1	9.66	9.66
Saccade L	1	139	3779620177	3779888264	268087	481.21	843.77	460.40	593.06	63.29	873.39	0.21	236.09	33854.79	-28522.86	7096.18
Saccade L	1	140	3779888264	3780072182	183918	460.40	593.06	742.37	674.16	38.75	813.56	0.76	210.68	28528.04	-31908.97	8764.56
Saccade L	1	141	3780072182	3780112222	40040	742.37	674.16	1132.25	479.51	9.57	837.84	0.40	238.98	32937.07	-34519.78	20427.09
Saccade L	1	142	3780140188	3780180202	40014	1149.61	450.44	1174.02	444.06	1.38	78.09	0.70	34.53	2376.86	-2237.56	1429.85
Saccade L	1	143	3780180202	3780216185	35983	1174.02	444.06	796.50	639.82	8.89	796.18	0.67	247.16	32548.50	-32666.93	19791.29
Saccade L	1	144	3780240184	3780280216	40032	805.50	633.66	1193.06	483.00	11.05	916.23	0.70	276.11	35296.65	-36860.66	20792.95
Saccade L	1	145	3780296203	3780320184	23981	1175.61	474.88	1145.26	459.62	0.69	48.97	0.50	28.80	23320.89	413.73	7293.77
Saccade L	1	146	3780320184	3780348223	28039	1145.26	459.62	775.93	616.29	5.86	527.65	0.29	208.96	23320.89	-23447.20	13653.83
