Subject	Source	Question	Answer		
Anna	12	Выберите правильный вариант ответа	1) 65  20  10  5
Anna	14	Выберите правильный вариант ответа	2) 70  15  10  5
Anna	16	Выберите правильный вариант ответа	3) 60  20  15  5
Anna	13	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 05	3	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 05	4	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 05	5	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 05	2	Выберите правильный ответ	1) 65  20  10  5
Nastya 05	6	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 05	8	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 05	10	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 05	9	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 05	7	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 05	11	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 05	12	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 05	14	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 05	16	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 05	15	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 05	13	Выберите правильный вариант ответа	3) 75  10  10  5
Daniil 02	6	Выберите правильный вариант ответа	2) 70  15  10  5
Daniil 02	2	Выберите правильный ответ	2) 70  15  10  5
Daniil 02	3	Выберите правильный вариант ответа	3) 75  10  10  5
Daniil 02	5	Выберите правильный вариант ответа	2) 80  10  5  5
Daniil 02	4	Выберите правильный вариант ответа	1) 65  20  15  10
Daniil 02	7	Выберите правильный вариант ответа	1) 65  20  10  5
Daniil 02	8	Выберите правильный вариант ответа	3) 75  10  10  5
Daniil 02	10	Выберите правильный вариант ответа	2) 80  10  5  5
Daniil 02	9	Выберите правильный вариант ответа	2) 70  15  10  5
Daniil 02	11	Выберите правильный вариант ответа	3) 60  20  15  5
Daniil 02	13	Выберите правильный вариант ответа	3) 75  10  10  5
Daniil 02	12	Выберите правильный вариант ответа	1) 65  20  10  5
Daniil 02	14	Выберите правильный вариант ответа	2) 70  15  10  5
Daniil 02	16	Выберите правильный вариант ответа	3) 60  20  15  5
Daniil 02	15	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 06	2	Выберите правильный ответ	2) 70  15  10  5
Nastya 06	3	Выберите правильный вариант ответа	3) 75  10  10  5
